Date,Radius,DistanceToEarth,DistanceToVenus,days_it_has_been_high_since,days_it_was_high_for,cumulative,OBS T,IBS T,OBS minus IBS T,dutycycle,SCM T,SCM T grad,SA MY,SA change,SoloHI-BDpl,SoloHI-BDpl grad,SUN_X,SUN_Y,SUN_Z,HGA azimuth change,HGA elevation change,HGA azimuth,HGA elevation,days_it_was_high_for -1,days_it_was_high_for -2,days_it_was_high_for -3,days_it_was_high_for 1,cumulative -1,cumulative -2,cumulative -3,cumulative 1,OBS T -1,OBS T -2,OBS T -3,OBS T 1,IBS T -1,IBS T -2,IBS T -3,IBS T 1,OBS minus IBS T -1,OBS minus IBS T -2,OBS minus IBS T -3,OBS minus IBS T 1,dutycycle -1,dutycycle -2,dutycycle -3,dutycycle 1,SCM T -1,SCM T -2,SCM T -3,SCM T 1,SCM T grad -1,SCM T grad -2,SCM T grad -3,SCM T grad 1,SUN_X -1,SUN_X -2,SUN_X -3,SUN_X 1,SUN_Y -1,SUN_Y -2,SUN_Y -3,SUN_Y 1,SUN_Z -1,SUN_Z -2,SUN_Z -3,SUN_Z 1,SA MY -1,SA MY -2,SA MY -3,SA MY 1,SA change -1,SA change -2,SA change -3,SA change 1,SoloHI-BDpl -1,SoloHI-BDpl -2,SoloHI-BDpl -3,SoloHI-BDpl 1,SoloHI-BDpl grad -1,SoloHI-BDpl grad -2,SoloHI-BDpl grad -3,SoloHI-BDpl grad 1,HGA azimuth -1,HGA azimuth -2,HGA azimuth -3,HGA azimuth 1,HGA azimuth change -1,HGA azimuth change -2,HGA azimuth change -3,HGA azimuth change 1,HGA elevation -1,HGA elevation -2,HGA elevation -3,HGA elevation 1,HGA elevation change -1,HGA elevation change -2,HGA elevation change -3,HGA elevation change 1
2021-06-09,91,75,31,3,0,0,1,2,10,4,9,11,-0.145421683070126,2,21,11,21,20,20,0,0,17,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,10.0,10.0,10.0,10.0,4.0,4.0,6.0,4.0,9.0,9.0,9.0,8.0,11.0,11.0,11.0,11.0,21.0,21.0,21.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,-0.145421683070126,-0.145421683070126,-0.145421683070126,-0.0181490043488282,0.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,12.0,12.0,12.0,12.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0
2021-06-10,91,75,31,4,0,0,1,2,10,4,8,11,-0.0181490043488282,0,21,12,21,20,20,0,0,17,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,10.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,9.0,9.0,9.0,8.0,11.0,11.0,11.0,11.0,21.0,21.0,21.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,-0.145421683070126,-0.145421683070126,-0.145421683070126,-0.0181490043488282,2.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,11.0,12.0,12.0,12.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0
2021-06-11,90,75,30,5,0,0,1,2,10,4,8,11,-0.0181490043488282,0,21,12,21,20,20,0,0,17,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,10.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,8.0,9.0,9.0,8.0,11.0,11.0,11.0,11.0,21.0,21.0,21.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,-0.0181490043488282,-0.145421683070126,-0.145421683070126,-0.0181490043488282,0.0,2.0,0.0,0.0,21.0,21.0,21.0,21.0,12.0,11.0,12.0,11.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0
2021-06-12,90,75,30,6,0,0,1,2,10,4,8,11,-0.0181490043488282,0,21,11,21,20,20,0,0,17,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,10.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,8.0,8.0,9.0,8.0,11.0,11.0,11.0,12.0,21.0,21.0,21.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,-0.0181490043488282,-0.0181490043488282,-0.145421683070126,-0.0181490043488282,0.0,0.0,2.0,0.0,21.0,21.0,21.0,21.0,12.0,12.0,11.0,11.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0
2021-06-13,90,75,29,7,0,0,1,2,10,4,8,12,-0.0181490043488282,0,21,11,21,20,20,0,0,17,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,10.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,8.0,8.0,8.0,8.0,11.0,11.0,11.0,13.0,21.0,21.0,21.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,-0.0181490043488282,-0.0181490043488282,-0.0181490043488282,-0.0181490043488282,0.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,11.0,12.0,12.0,12.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0
2021-06-14,90,75,28,8,0,0,1,2,10,4,8,13,-0.0181490043488282,0,21,12,21,20,20,0,0,17,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,10.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,8.0,8.0,8.0,9.0,12.0,11.0,11.0,12.0,21.0,21.0,21.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,-0.0181490043488282,-0.0181490043488282,-0.0181490043488282,-0.0181490043488282,0.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,11.0,11.0,12.0,12.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0
2021-06-15,90,75,28,9,0,0,1,2,10,4,9,12,-0.0181490043488282,0,21,12,21,20,20,0,0,17,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,10.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,8.0,8.0,8.0,9.0,13.0,12.0,11.0,11.0,21.0,21.0,21.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,-0.0181490043488282,-0.0181490043488282,-0.0181490043488282,0.018214618142963,0.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,12.0,11.0,11.0,11.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0
2021-06-16,90,75,27,10,0,0,1,2,10,4,9,11,0.018214618142963,0,21,11,21,20,20,0,0,17,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,10.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,9.0,8.0,8.0,8.0,12.0,13.0,12.0,11.0,21.0,21.0,21.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,-0.0181490043488282,-0.0181490043488282,-0.0181490043488282,-0.0181490043488282,0.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,12.0,12.0,11.0,11.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0
2021-06-17,89,75,27,11,0,0,1,2,10,4,8,11,-0.0181490043488282,0,21,11,21,20,20,0,0,17,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,10.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,9.0,9.0,8.0,8.0,11.0,12.0,13.0,11.0,21.0,21.0,21.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.018214618142963,-0.0181490043488282,-0.0181490043488282,-0.0181490043488282,0.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,11.0,12.0,12.0,11.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0
2021-06-18,89,75,26,12,0,0,1,2,10,4,8,11,-0.0181490043488282,0,21,11,21,20,20,0,0,17,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,10.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,8.0,9.0,9.0,8.0,11.0,11.0,12.0,12.0,21.0,21.0,21.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,-0.0181490043488282,0.018214618142963,-0.0181490043488282,-0.0181490043488282,0.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,11.0,11.0,12.0,12.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0
